tags,data,stamps
2,0.01129150390625,1737571697.102
15,0.01129150390625,1737571697.102
4,0.395965576171875,1737571697.102
5,0.346527099609375,1737571697.102
6,0.37811279296875,1737571697.102
8,0.0225830078125,1737571697.102
9,0.01776123046875,1737571697.102
10,0.017608642578125,1737571697.102
11,241.594482421875,1737571697.102
12,226.5380859375,1737571697.102
13,351.7074279785156,1737571697.102
14,221.30584716796875,1737571697.102
1,27.636875,1737571697.102
3,-24.957312011718756,1737571697.102
7,2002.0,1737571697.102
16,-32.46001052856445,1737571697.102
17,-32.208221435546875,1737571697.102
2,-0.01129150390625,1737571697.169
15,-0.01129150390625,1737571697.169
4,0.393218994140625,1737571697.169
5,0.3460693359375,1737571697.169
6,0.379486083984375,1737571697.169
8,0.022552490234375,1737571697.169
9,0.01788330078125,1737571697.169
10,0.017913818359375,1737571697.169
11,242.154052734375,1737571697.169
12,226.55181884765625,1737571697.169
13,351.829833984375,1737571697.169
14,221.30584716796875,1737571697.169
1,27.618789062499996,1737571697.169
3,-24.984777832031256,1737571697.169
7,2002.0,1737571697.169
16,-32.46001052856445,1737571697.169
17,-32.21171951293945,1737571697.169
2,0.12969970703125,1737571697.235
15,0.12969970703125,1737571697.235
4,0.393218994140625,1737571697.235
5,0.342864990234375,1737571697.235
6,0.379486083984375,1737571697.235
8,0.02252197265625,1737571697.235
9,0.017852783203125,1737571697.235
10,0.018035888671875,1737571697.235
11,242.2939453125,1737571697.235
12,226.55181884765625,1737571697.235
13,351.829833984375,1737571697.235
14,221.30584716796875,1737571697.235
1,27.650439453124992,1737571697.235
3,-24.920690917968756,1737571697.235
7,2002.0,1737571697.235
16,-32.46001052856445,1737571697.236
17,-32.17499923706055,1737571697.236
2,0.01678466796875,1737571697.302
15,0.01678466796875,1737571697.302
4,0.396881103515625,1737571697.302
5,0.346527099609375,1737571697.302
6,0.3790283203125,1737571697.302
8,0.02227783203125,1737571697.302
9,0.017791748046875,1737571697.302
10,0.017730712890625,1737571697.302
11,241.78683471679688,1737571697.302
12,226.54495239257812,1737571697.302
13,351.7598876953125,1737571697.302
14,221.30584716796875,1737571697.302
1,27.623310546875,1737571697.302
3,-24.975622558593756,1737571697.302
7,2002.0,1737571697.302
16,-32.46001052856445,1737571697.302
17,-32.19947814941406,1737571697.302
2,0.0048828125,1737571698.102
15,0.0048828125,1737571698.102
4,0.39459228515625,1737571698.102
5,0.345611572265625,1737571698.102
6,0.37994384765625,1737571698.102
8,0.022613525390625,1737571698.102
9,0.017669677734375,1737571698.102
10,0.017913818359375,1737571698.102
11,242.154052734375,1737571698.102
12,226.55181884765625,1737571698.102
13,351.9522399902344,1737571698.102
14,221.30584716796875,1737571698.102
